2024-03-26 18:15:47,417 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1020418.json
2024-03-26 18:15:47,428 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\4e87fd5eb9adc34574880ed08ad802d1.txt
2024-03-26 18:15:47,445 - DEBUG: Writing tag: detailed background, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: fangs, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: feral, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: foreshortening, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: genital fluids, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: glowing, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: glowing clitoris, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: glowing genitalia, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: glowing pussy, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: hair, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: huge butt, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: huge thighs, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: long hair, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: long mouth, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: looking at viewer, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: looking back, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: looking back at viewer, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: mane, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: membrane \(anatomy\), 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: membranous wings, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: nude, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: overbite, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: presenting, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: presenting anus, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: presenting hindquarters, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: presenting pussy, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: pupils, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: purple blush, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: pussy, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: pussy juice on tail, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: pussy juice string, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: raised tail, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: rear view, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: scales, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: slit pupils, 
2024-03-26 18:15:47,446 - DEBUG: Writing tag: smile, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: snout, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: sparkles, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: spikes, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: spread wings, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: stalactite, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: stalagmite, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: steam, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: tail mane, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: teeth, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: thick thighs, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: vaginal fluids, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: warm/cold theme, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: wings, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: by photonoko, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: reptile, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,447 - DEBUG: Writing tag: 2017, 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: 4:3, 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: blue theme, 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: cool colors, 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: digital media \(artwork\), 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: digital painting \(artwork\), 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: hi res, 
2024-03-26 18:15:47,448 - DEBUG: Writing tag: restricted palette, 
2024-03-26 18:15:47,448 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1161307.json
2024-03-26 18:15:47,451 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\e16dfcd36f6254e5855bc92728930082.txt
2024-03-26 18:15:47,451 - DEBUG: Writing tag: anthro, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: anthrofied, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: areola, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: blue areola, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: blue eyes, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: blue nipples, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: breasts, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: cave, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: cavern, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: crystal, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: detailed background, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: fangs, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: frozen, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: grey hair, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: hair, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: ice, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: icicle, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: inanimate transformation, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: nipples, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: non-mammal breasts, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: nude, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: petrification, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: scales, 
2024-03-26 18:15:47,452 - DEBUG: Writing tag: sitting, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: teeth, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: transformation, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: wing claws, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: wings, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: by oot, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: reptile, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: blue theme, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: cool colors, 
2024-03-26 18:15:47,453 - DEBUG: Writing tag: restricted palette, 
2024-03-26 18:15:47,455 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1248466.json
2024-03-26 18:15:47,456 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\573c476d8d1b068cd22b351641d51769.txt
2024-03-26 18:15:47,456 - DEBUG: Writing tag: anthro, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: anthrofied, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: bent over, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: big breasts, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue body, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue eyes, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue hair, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue nipples, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue sclera, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: blue skin, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: breast squish, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: breasts, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: hair, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: holding breast, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: horn, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: inverted nipples, 
2024-03-26 18:15:47,456 - DEBUG: Writing tag: leaning, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: leaning forward, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: nipples, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: non-mammal breasts, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: nude, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: squish, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: teal nipples, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: by skygracer, 
2024-03-26 18:15:47,457 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: 2016, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: digital media \(artwork\), 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: hi res, 
2024-03-26 18:15:47,458 - DEBUG: Writing tag: shaded, 
2024-03-26 18:15:47,459 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1314713.json
2024-03-26 18:15:47,462 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\370927792afcce621f8ec5620e7eb2ea.txt
2024-03-26 18:15:47,463 - DEBUG: Writing tag: anthro, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: anthrofied, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: belly scales, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: bodily fluids, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: breasts, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: butt, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: egg, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: fur, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: genital fluids, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: hair, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: looking at viewer, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: non-mammal breasts, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: presenting, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: presenting hindquarters, 
2024-03-26 18:15:47,463 - DEBUG: Writing tag: pussy, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: scales, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: vaginal fluids, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: by wingedwilly, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: furred dragon, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,464 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,465 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,465 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,465 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,465 - DEBUG: Writing tag: 9:16, 
2024-03-26 18:15:47,465 - DEBUG: Writing tag: hi res, 
2024-03-26 18:15:47,465 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1365423.json
2024-03-26 18:15:47,467 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\f50bf2e34960d9b565cbcf9efb4c9fb9.txt
2024-03-26 18:15:47,467 - DEBUG: Writing tag: ambiguous form, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: anal juice, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: bodily fluids, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: butt, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: drooling, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,467 - DEBUG: Writing tag: genital fluids, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: in heat, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: looking at viewer, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: looking back, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: nude, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: presenting, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: presenting hindquarters, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: presenting pussy, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: pussy, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: raised tail, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: rear view, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: saliva, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,468 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: tongue, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: vaginal fluids, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: wings, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: by sepiruth, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,469 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,470 - DEBUG: Writing tag: 1:1, 
2024-03-26 18:15:47,470 - DEBUG: Writing tag: 2017, 
2024-03-26 18:15:47,470 - DEBUG: Writing tag: hi res, 
2024-03-26 18:15:47,471 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1463431.json
2024-03-26 18:15:47,472 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\2d74fa0d926b7b7095a5d69cbdbf6eef.txt
2024-03-26 18:15:47,472 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: bedroom eyes, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: belly scales, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: blush, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: bodily fluids, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: butt, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: clitoris, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: curling toes, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: feet, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: feral, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: fur, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: genital fluids, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,472 - DEBUG: Writing tag: hair, 
2024-03-26 18:15:47,473 - DEBUG: Writing tag: half-closed eyes, 
2024-03-26 18:15:47,473 - DEBUG: Writing tag: horn, 
2024-03-26 18:15:47,473 - DEBUG: Writing tag: in heat, 
